title,problem_URL,acceptance,difficulty
1. Two Sum,/problems/two-sum,54.4%,Easy
2. Add Two Numbers,/problems/add-two-numbers,44.8%,Medium
3. Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,35.9%,Medium
4. Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,42.2%,Hard
5. Longest Palindromic Substring,/problems/longest-palindromic-substring,34.9%,Medium
6. Zigzag Conversion,/problems/zigzag-conversion,50.0%,Medium
7. Reverse Integer,/problems/reverse-integer,29.5%,Medium
8. String to Integer (atoi),/problems/string-to-integer-atoi,18.3%,Medium
9. Palindrome Number,/problems/palindrome-number,58.1%,Easy
10. Regular Expression Matching,/problems/regular-expression-matching,28.7%,Hard
11. Container With Most Water,/problems/container-with-most-water,56.6%,Medium
12. Integer to Roman,/problems/integer-to-roman,67.0%,Medium
13. Roman to Integer,/problems/roman-to-integer,63.4%,Easy
14. Longest Common Prefix,/problems/longest-common-prefix,44.3%,Easy
15. 3Sum,/problems/3sum,35.9%,Medium
16. 3Sum Closest,/problems/3sum-closest,46.3%,Medium
17. Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,62.4%,Medium
18. 4Sum,/problems/4sum,37.1%,Medium
19. Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,47.4%,Medium
20. Valid Parentheses,/problems/valid-parentheses,41.4%,Easy
21. Merge Two Sorted Lists,/problems/merge-two-sorted-lists,65.8%,Easy
22. Generate Parentheses,/problems/generate-parentheses,76.0%,Medium
23. Merge k Sorted Lists,/problems/merge-k-sorted-lists,54.9%,Hard
24. Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,65.9%,Medium
25. Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,61.2%,Hard
26. Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,58.5%,Easy
27. Remove Element,/problems/remove-element,58.8%,Easy
28. Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,44.0%,Easy
29. Divide Two Integers,/problems/divide-two-integers,17.9%,Medium
30. Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,32.6%,Hard
31. Next Permutation,/problems/next-permutation,41.7%,Medium
32. Longest Valid Parentheses,/problems/longest-valid-parentheses,35.2%,Hard
33. Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,41.9%,Medium
34. Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,45.6%,Medium
35. Search Insert Position,/problems/search-insert-position,47.7%,Easy
36. Valid Sudoku,/problems/valid-sudoku,61.1%,Medium
37. Sudoku Solver,/problems/sudoku-solver,63.5%,Hard
38. Count and Say,/problems/count-and-say,57.2%,Medium
39. Combination Sum,/problems/combination-sum,73.3%,Medium
40. Combination Sum II,/problems/combination-sum-ii,56.8%,Medium
41. First Missing Positive,/problems/first-missing-positive,40.3%,Hard
42. Trapping Rain Water,/problems/trapping-rain-water,63.6%,Hard
43. Multiply Strings,/problems/multiply-strings,41.4%,Medium
44. Wildcard Matching,/problems/wildcard-matching,29.0%,Hard
45. Jump Game II,/problems/jump-game-ii,40.9%,Medium
46. Permutations,/problems/permutations,79.7%,Medium
47. Permutations II,/problems/permutations-ii,60.5%,Medium
48. Rotate Image,/problems/rotate-image,76.5%,Medium
49. Group Anagrams,/problems/group-anagrams,69.9%,Medium
"50. Pow(x, n)",/problems/powx-n,36.0%,Medium
51. N-Queens,/problems/n-queens,70.8%,Hard
52. N-Queens II,/problems/n-queens-ii,75.4%,Hard
53. Maximum Subarray,/problems/maximum-subarray,51.5%,Medium
54. Spiral Matrix,/problems/spiral-matrix,52.1%,Medium
55. Jump Game,/problems/jump-game,38.9%,Medium
56. Merge Intervals,/problems/merge-intervals,48.4%,Medium
57. Insert Interval,/problems/insert-interval,42.6%,Medium
58. Length of Last Word,/problems/length-of-last-word,54.6%,Easy
59. Spiral Matrix II,/problems/spiral-matrix-ii,72.5%,Medium
60. Permutation Sequence,/problems/permutation-sequence,48.6%,Hard
61. Rotate List,/problems/rotate-list,39.0%,Medium
62. Unique Paths,/problems/unique-paths,65.1%,Medium
